name,latitude,longitude,rating
Shine Mood NCTU,24.7876683,120.9976131,4.4
十六區和風料理,24.797274,120.9965588,4.1
開源社香雞排,24.7964909,120.9982195,3.6
Toscanini,24.782403,121.006042,4.1
三層山,24.7924998,121.0026462,4.5
立晉傳統豆花,24.7968636,120.9983978,4.1
橄欖樹廚房,24.7937226,121.0016991,4.4
我的小館,24.7960956,120.9995763,4.3
Mercuries Beef Noodle Restaurant,24.79587679999999,120.998332,3.7
光復饅頭店,24.7923789,121.002886,3.9
肥仔龍無煙鐵板燒,24.7975953,120.9981823,3.2
Ocean House ice shop and steaks,24.7968188,120.9993179,4.1
豆戀迷Do Re Mi豆湯品專賣店 新竹清大店,24.7967997,120.9993823,4.2
Experience Vietnam,24.7848911,121.0105269,4
甘泉魚麵-清大店,24.7975892,120.9961213,4
Laya burger,24.7846902,120.9903403,3.6
月香壽司,24.786496,120.9996156,4.7
清美香快餐,24.7847519,120.99016,3.8
創義食族,24.78492,120.9898423,3.9
Shuimu Restaurant,24.7921877,120.9948041,3.9
新天地美食館,24.7853651,121.0103133,4.3
RINGOAL車庫餐廳,24.783062,121.005649,4
儷舍坊,24.7860039,121.0099968,4.2
露米亞歐法餐廳,24.7797591,121.0056688,4.4
21 gold (hotpot),24.7792243,120.985667,3.6
瑞斯飯糰 新竹金城店,24.7938905,121.0020158,3.4
3Q脆皮雞排（清大店）,24.796891,120.998403,3.5
美美麵‧飯食館,24.7781761,120.9844373,4
NYCU Restaurant 2,24.789302,120.997197,4.3
Overseas Dragon,24.7776218,120.984212,3.4
禾園茶館,24.779719,121.005421,4.5
蕃茄村漢堡,24.7918596,121.007029,3.2
黃記,24.79632729999999,120.9980852,4.2
Dominos Pizza,24.7871003,121.0099323,3.7
Niko's Pizzeria 你一口比薩,24.7974645,120.9963588,3.8
The Park,24.7974645,120.9963588,4.5
開源社香雞排,24.7867393,121.0102793,3.8
吉米洋食屋,24.79637619999999,120.9985614,4.1
Da Nei Beef Noodle Restaurant,24.79165,121.0069548,4
AMS Light Meal & Tea,24.7967065,120.9975768,4.6
Zhong Li Beef Noodle Restaurant,24.7966664,120.9988537,3.8
小巷子,24.796835,120.997444,3
來來豆漿店,24.7967106,120.9989391,4.3
Burger King,24.7797222,121.0055556,4
比司多(交大研三),24.7839104,120.9967061,3.4
李記小館,24.7839113,120.9967124,3.5
恩雅泰式料理,24.7838224,120.996686,2.7
御膳堂鴨肉飯-新竹交大店,24.783893,120.9969954,3.2
奶油廚房,24.784366,120.997252,4.3
Burger King,24.78380899999999,120.9971564,4.3
義早早午餐-新竹交大店,24.7839058,120.9973015,4.1
McDonald's,24.7847815,120.9991202,4.1
A華加湯滷味,24.784518,120.9994433,3.8
翁記滷肉飯,24.78449329999999,120.9994902,3.5
天晟燒臘,24.7844942,120.9995286,4.4
極麵道,24.7844752,120.9995512,3.2
NYCU Restaurant 1,24.786524,120.9993977,3.8
完顏南洋料理,24.7865005,120.9994832,3.7
LALA Kitchen,24.7862836,120.9996931,3.8
玖蔦家火山丼-交大店,24.7891386,120.9973005,4.1
