name,latitude,longitude,rating
Taichung,24.1629765,120.6746104,N/A
Park City Hotel Central Taichung,24.1375312,120.6805844,4.1
三時茶房,24.1481946,120.6828375,4.3
Butler Hotel,24.1377735,120.6854171,4.2
53 Hotel Taichung,24.1376044,120.6834221,4.3
Taichung Park,24.1448185,120.6844762,4.2
Chungyo Department Store,24.1522173,120.684783,4.4
瑪露連嫩仙草創始店,24.1411127,120.680855,4.1
天天饅頭,24.1421929,120.6799486,4.4
JT燉飯-台中一中街推薦 義式料理美食餐廳 燉飯 義大利麵 披薩pizza專賣店網友推薦熱門聚餐首選,24.1501809,120.6853392,4.4
西苑旅店Garden Hotel台中住宿,24.1402956,120.6836465,4
Mr.38 咖哩美食餐廳（一中店),24.1506573,120.6855195,4.6
台中名帥大飯店,24.1422283,120.6831144,3
CityInn Hotel Plus Taichung Station Branch,24.13578489999999,120.6858674,4.5
Micasa Hotel - Taichung,24.1361296,120.6856762,3.9
Holiday Inn Express Taichung Park,24.1427566,120.6855587,4.1
大阪拓海家拉麵 - 台中推薦人氣必吃拉麵 一中街美食 蓋飯 日式拉麵 日本料理 熱門餐廳 PTT推薦 首選,24.150033,120.6852995,4.2
Kao Yuan Hotel,24.1461456,120.6755513,3.8
薔薇派 台中一中店,24.1482517,120.6830459,3.9
富台新村,24.144862,120.690423,N/A
Lailai Hotel,24.14880819999999,120.6833244,4.5
台中華納婚紗,24.1445164,120.6814073,4.9
sweet cakes 甜點心球,24.1428753,120.69221,4.3
My Ear 一中店,24.1534801,120.6866107,4.6
Bravo Hotel,24.137278,120.6840284,3.8
九州日式豚骨拉麵(一中店),24.1499902,120.6845123,4.1
Fu Din Wang,24.1452488,120.6765902,4.1
胖子雞丁雞排,24.1472703,120.6843545,3.5
烤狀猿日式燒肉 (一中店),24.1475432,120.6860856,4.6
A-Min Shi Sun Cake,24.1388735,120.6807272,4.1
王印製麵麻辣乾麵,24.1476399,120.684423,2.9
上海未名酸梅湯麵點,24.1396658,120.6800558,4
Kiwi Express Hotel - Chenggong,24.1418485,120.6816288,3.8
創意時尚飯店 I-deal HOTEL(寵物友善旅館),24.1521769,120.6803917,3.8
Unique Hotel - Smile 73 Hotel,24.14217769999999,120.6827372,4.2
Fourth Credit Union,24.1390204,120.6819297,4.4
阿仁羊肉焿,24.1401821,120.6841118,4.3
鋤燒鍋物料理,24.1428033,120.68376,4.2
異香齋百年糕餅店,24.1420803,120.6813351,4.3
上澄鍋物,24.1428491,120.6853499,4.2
Shanghai Dim Sum,24.1430956,120.6887214,4.3
一中豐仁冰,24.1489247,120.6866407,4.2
Banshin Castella Cake,24.1429936,120.6791783,4.3
魏清海太陽堂老店食品有限公司,24.1396804,120.6824099,4.8
Taichung Broadcasting Bureau,24.149913,120.6906513,4
法爵FRajo柳川店 手作烘焙 雪酪冰淇淋,24.1429832,120.6782448,4.2
盧の堡半月燒餡餅一中直營店,24.1480675,120.685377,4.1
花蓮水尾臭豆腐 自由店,24.143012,120.690463,4.4
阿月紅茶冰(水利大樓後門一中街),24.1486608,120.6851286,3.5
意文大飯店,24.1411535,120.6827163,2.2
阿水獅豬腳大王,24.1414496,120.6855437,3.7
Tai Yang Tang Lao Dian Ziyou Road Main Store,24.1390279,120.680968,4.4
Chen Yun Pao Chuan,24.1395278,120.6817985,4.3
阿棋 三代福州意麵老店-台中第二市場在地人氣小吃,24.1421158,120.6789243,4.1
Maochuan Taiwanese Meatballs,24.1429559,120.6787876,3.8
小夏天 petit ete,24.1391036,120.6814548,4.2
Taichung Traditional Cuisine,24.1397311,120.6847423,4.1
Liuyuan Church,24.1460311,120.6812022,4.4
王家菜頭粿糯米腸,24.1421366,120.6790749,3.4
Arashi Braised Minced Pork,24.1424854,120.678876,4.2
