name,latitude,longitude,rating
三時茶房,24.1481946,120.6828375,4.3
天天饅頭,24.1421929,120.6799486,4.4
JT燉飯-台中一中街推薦 義式料理美食餐廳 燉飯 義大利麵 披薩pizza專賣店網友推薦熱門聚餐首選,24.1501809,120.6853392,4.4
Mr.38 咖哩美食餐廳（一中店),24.1506573,120.6855195,4.6
大阪拓海家拉麵 - 台中推薦人氣必吃拉麵 一中街美食 蓋飯 日式拉麵 日本料理 熱門餐廳 PTT推薦 首選,24.150033,120.6852995,4.2
Fu Din Wang,24.1452488,120.6765902,4.1
A-Min Shi Sun Cake,24.1388735,120.6807272,4.1
上海未名酸梅湯麵點,24.1396658,120.6800558,4
Korea Town Restaurant,24.1375605,120.6779856,4.7
烤狀猿日式燒肉 (一中店),24.1475432,120.6860856,4.6
九州日式豚骨拉麵(一中店),24.1499902,120.6845123,4.1
王印製麵麻辣乾麵,24.1476399,120.684423,2.9
Fourth Credit Union,24.1390204,120.6819297,4.4
鋤燒鍋物料理,24.1428033,120.68376,4.2
上澄鍋物,24.1428491,120.6853499,4.2
Shanghai Dim Sum,24.1430956,120.6887214,4.3
吃七碗米糕,24.139758,120.696295,3.9
Chun Shui Tang Original Store,24.1375512,120.6755809,4.2
花蓮水尾臭豆腐 自由店,24.143012,120.690463,4.4
阿水獅豬腳大王,24.1414496,120.6855437,3.7
盧の堡半月燒餡餅一中直營店,24.1480675,120.685377,4.1
阿棋 三代福州意麵老店-台中第二市場在地人氣小吃,24.1421158,120.6789243,4.1
小夏天 petit ete,24.1391036,120.6814548,4.2
Taichung Traditional Cuisine,24.1397311,120.6847423,4.1
Arashi Braised Minced Pork,24.1424854,120.678876,4.2
Miyahara,24.1378278,120.6835552,4.3
幸福花園,24.1428724,120.6920457,4.6
瓦城泰式料理 - 台中新時代,24.1360755,120.687597,4.5
66義式燒烤手扒雞（台中總店）,24.129729,120.6849456,4.4
味泉米糕,24.1294644,120.6814002,4.2
和風拉麵,24.137412,120.6812442,4
Bravo Beer Lalaport Taichung,24.133722,120.6928795,4.5
青日本料理,24.1222462,120.6834885,4.1
Qin Yuan Chun Main Store,24.1395207,120.6826624,4.1
Pash Burger,24.1404606,120.6676654,4.2
台中英雄館,24.1398024,120.688479,4.1
高家意麵,24.1397697,120.684799,4
今日小吃 豬腳飯 爌肉飯,24.1308365,120.6852567,3.3
爭鮮迴轉壽司-新時代店,24.136214,120.6877613,4.1
汕頭牛肉劉,24.1387867,120.6832495,4.3
TAROKO MALL Taichung,24.1357726,120.6877477,4.3
12hotpot,24.1526651,120.6822047,4.2
如意樓江浙料理,24.13955899999999,120.6699608,4.1
奔跑吧!年糕鍋,24.1498012,120.6851719,3.5
hun,24.149876,120.684317,4.5
My Warm Day,24.128785,120.674326,4
Oyster porridge,24.1381794,120.6714929,4.1
小漁兒,24.1494,120.6744144,4.3
茶寮侘助,24.1490166,120.6935313,4.2
天津苟不理湯包,24.1337635,120.6881458,4.4
大智路蕭爌肉飯,24.1324471,120.6899834,4.2
山東羊角饅頭包子,24.1395631,120.6730846,3.7
第二市場 顏記肉包、餛飩湯,24.14236,120.67922,3.1
港町十三番地中正店,24.1430214,120.6787211,4.2
KFC Taichung Wuquan Branch,24.1503174,120.6764808,3.8
Allin飽庫｜早午餐｜沙拉｜漢堡,24.1510458,120.6842369,4.2
狂野森林西班牙冰砂,24.124729,120.676472,4.4
好好味冰火菠蘿油(三民店),24.1521152,120.6852103,3.7
獅兄弟酒館,24.1410999,120.6731686,4.4
不一樣饅頭,24.1401829,120.6738972,4.5
