name,latitude,longitude,rating
Park City Hotel Central Taichung,24.1375312,120.6805844,4.1
CityInn Hotel Plus Taichung Station Branch,24.13578489999999,120.6858674,4.5
The Enterpriser Hotel,24.1344444,120.6872222,3.9
Micasa Hotel - Taichung,24.1361296,120.6856762,3.9
Butler Hotel,24.1377735,120.6854171,4.2
53 Hotel Taichung,24.1376044,120.6834221,4.3
National Library of Public Information,24.127401,120.670799,4.6
Chungyo Department Store,24.1522173,120.684783,4.4
Taichung Park,24.1448185,120.6844762,4.2
My Ear 一中店,24.1534801,120.6866107,4.6
Cultural Heritage Park,24.1333946,120.6817097,4.2
Kao Yuan Hotel,24.1461456,120.6755513,3.8
西苑旅店Garden Hotel台中住宿,24.1402956,120.6836465,4
台中名帥大飯店,24.1422283,120.6831144,3
Holiday Inn Express Taichung Park,24.1427566,120.6855587,4.1
Calligraphy Greenway,24.1484004,120.66477,4.4
National Chung Hsing University,24.123552,120.675326,4.5
Bravo Hotel,24.137278,120.6840284,3.8
Lailai Hotel,24.14880819999999,120.6833244,4.5
台中華納婚紗,24.1445164,120.6814073,4.9
創意時尚飯店 I-deal HOTEL(寵物友善旅館),24.1521769,120.6803917,3.8
F HOTEL Taichung Lijia Royal Garden,24.1505957,120.6664536,4.1
豪爵大飯店-台中館,24.1384909,120.6654781,3.9
Twinstar Hotel,24.1360237,120.6871114,3.7
Kiwi Express Hotel - Chenggong,24.1418485,120.6816288,3.8
Unique Hotel - Smile 73 Hotel,24.14217769999999,120.6827372,4.2
Kao Yuan Hotel,24.1460108,120.6739582,3.8
綠蓋茶‧館,24.1509848,120.6678567,4
