name,latitude,longitude,rating
Diamond Tony's Italian Restaurant 101,25.0335715,121.5649428,4.1
Dancing Pig Bistro,25.0395031,121.5557327,4.6
The Howard Plaza Hotel Taipei,25.0374653,121.5429725,4.3
溫古咖啡 Wengucafe（老闆獨家料理，每日限量手工鹹食、甜點。週日老闆休息，仍有營業但部分餐點無法供應，不便之處請見諒，謝謝各位！),25.0434918,121.547749,4.5
平價快炒,25.0402535,121.5536048,4.1
Seasons Garden Restaurant,25.0353196,121.5484757,4.2
Latest Recipe,25.0379142,121.5680618,4
橋頭麻辣鍋 - 台北東區,25.0436496,121.5493018,4.2
Second Floor Cafe Dunnan Restaurant,25.0308871,121.550009,4.3
Shin Yeh Japanese Buffet Shin Kong Mitsukoshi Xinyi A11 Restaurant,25.0360953,121.567219,4.1
吳留手串燒居酒屋 市民店,25.0448967,121.5505019,4.1
Oregano奧瑞岡義式餐廳,25.0327771,121.5479234,4.5
Macho Tacos 瑪丘墨式餅舖 (延吉 Yanji),25.0403438,121.5543568,4
Taihodien Restaurant,25.0332528,121.5560174,4.4
T.K.K. Fried Chicken,25.041718,121.5505688,3.5
Mitsui Cuisine,25.045644,121.5484075,4.1
Dubu House Taipei Dunnan Branch,25.0404574,121.5497779,4.1
Big Two Gourmet,25.0508083,121.5608662,3.5
Easy House,25.03907,121.5508771,4.1
Little Dragon Cuisine,25.0478636,121.559284,4.1
Citystar Restaurant,25.0412474,121.5484784,4
Peng Garden Wedding Hall - Taipei,25.0411684,121.5734067,4.1
Solo Pasta,25.0391961,121.5506541,4.5
Lawry's The Prime Rib,25.039633,121.5678702,4.3
Chaurau Sukiyaki Restaurant,25.0427031,121.55549,4.4
市民大道涮涮鍋（市民總店）,25.044632,121.553664,3.8
Tokiya Taipei Guangfu S. Branch,25.0395506,121.5574401,4.2
Woolloomooloo,25.0333036,121.5581173,4
伊薩姆日式料理,25.0525183,121.5567852,4.1
美景紅油抄手,25.0417877,121.5478902,4.2
Tajin Moroccan Cuisine,25.0283333,121.5563889,4.7
騷豆花敦南旗艦店,25.0404917,121.5465703,4.2
烤師傅烤肉飯,25.0425302,121.5688021,3.9
Wang Steak Taipei Nanjing East Branch,25.0517436,121.5563155,4.8
Snail Italian Restaurant,25.0570927,121.552205,4.6
一品 花 雕 雞 市民旗艦店,25.0446973,121.5527378,4.6
PS TAPAS 西班牙餐酒館,25.0395191,121.5512379,4.3
Steak Inn,25.0386923,121.5498414,4.3
Du Hsiao Yueh Zhongxiao Branch,25.0407037,121.5521563,4
MO-MO-PARADISE Neo 19,25.0353488,121.5678176,4.3
Yue Dao Japanese Pan-fried Batter,25.041023,121.5474406,4.3
Éclat Hotel Taipei,25.033727,121.54837,4.1
艾隆義式麵食館,25.0484455,121.5542484,3.6
Mala Hot Pot Xinyi Branch,25.0354574,121.5678596,4.5
慶州館,25.0505322,121.5437829,3.7
Marugame Seimen Shin Kong Mitsukoshi Taipei Xinyi A8 Shop,25.0383589,121.5666138,4.2
Mayur Indian Kitchen,25.0368668,121.5616201,4.3
陳家涼麵(營業時間至凌晨1:30),25.0527895,121.560715,3.7
Do It True (Xinyi),25.0372424,121.5610468,4
Xiang Fu Restaurant,25.0514538,121.5534312,4.1
Jipin Xinyi Branch,25.0329721,121.5530035,4.2
Boji HK Style Restaurant,25.0425619,121.5533901,4.2
Giguo Far Eastern Sogo Zhongxiao Branch,25.041872,121.544865,4.6
GOOD CHO's Xinyi Shop,25.0312366,121.5618391,4
Aplus Dining Sake Bar,25.0387919,121.5508154,4.4
好客燒烤-市府店,25.041849,121.5652471,3.9
CYCLO,25.0422825,121.5467167,4.2
火之舞蓁品燒 和牛燒肉放題,25.0404281,121.5533956,4
咖啡弄 敦化店 Coffee Alley (Dunhua),25.0424491,121.5514325,3.9
Chen Gen Zhao Cha,25.028434,121.56573,3.6
