"name","latitude","longitude","rating","rating_count"
"摩天瀑布","25.06321299999999","121.80543","4.5","295"
"Chaojing Park","25.1434517","121.8034149","4.4","16315"
"Hsiaojingua Outcrop","25.1000172","121.8452546","4.5","257"
"Sandiaoling Tunnel Bike Path Rest Point","25.056793","121.8430888","4.5","1348"
"陰陽海景觀台","25.1222411","121.8642059","4.5","1491"
"枇杷洞瀑布","25.06339879999999","121.8047454","4.5","686"
"Shen'ao Rail Bike (Shen'ao Station)","25.12917939999999","121.8144922","4.5","1654"
"合谷瀑布","25.0614165","121.8110348","4.4","160"
"Golden Waterfall","25.1171278","121.8614895","4.4","12038"
"Jinguashi Geopark","25.1009411","121.8545499","4.4","2480"
