"name","latitude","longitude","rating","rating_count"
"Taipei Old Town - Taiwan Introduction Free Walking Tour Meeting Point - TourMeAway","25.0427003","121.5162582","5","394"
"Taipei's Origin & Longshan Temple - Taiwan Cultural Free Walking Tour Meeting Point - TourMeAway","25.0355043","121.49952","4.9","274"
"Daan Park","25.0296587","121.5362867","4.6","38532"
"Taipei Main Station Tourist Service Center","25.0475601","121.5164226","4.5","348"
"Beimen North Gate Square","25.0477863","121.5110318","4.5","426"
"Yong Le Market","25.0548835","121.5104598","4.3","12743"
"Chiang Kai-shek Memorial Hall","25.035502","121.5201832","4.5","71110"
"Liberty Square Arch","25.0366259","121.5175666","4.5","4532"
"Ximending Walking District","25.044043","121.5073209","4.4","11719"
"Li Kwoh-ting's Residence","25.0406231","121.5277299","4.4","352"
