"name","latitude","longitude","rating","rating_count"
"國立故宮博物院北部院區天下為公牌樓","25.1001511","121.5495937","4.7","241"
"微風平台","25.0841035","121.5284672","4.7","240"
"Junjianyan","25.1273088","121.5187175","4.5","4622"
"番井沸泉碑","25.1210627","121.5346325","4.5","222"
"Tianmu Historic Trail","25.1276355","121.5336739","4.5","3967"
"National Palace Museum","25.1023554","121.5484925","4.5","49246"
"鵝尾山水田","25.1278046","121.5741552","4.4","226"
"Zhishanyan","25.1039041","121.5302756","4.4","1078"
"Zhishanyan Cultural and Historical Park","25.1022722","121.529852","4.4","2814"
"National Revolutionary Martyrs' Shrine","25.0794115","121.5329556","4.4","4769"
