"name","latitude","longitude","rating","rating_count"
"枕頭山農莊","24.8243756","121.3359475","4.5","108"
"鐵木瀑布 優霞雲瀑布","24.8138112","121.3848375","4.4","780"
"Yixing Suspension Bridge","24.790149","121.366919","4.4","736"
"Heping Suspension Bridge","24.7897639","121.3744182","4.4","212"
"後慈湖秘境步道","24.8439474","121.3001514","4.4","231"
"白石山，打鐵寮古道","24.8531665","121.2979756","4.4","947"
"Old Baiji Tunnel","24.8354082","121.3021849","4.3","2510"
"宇內溪戲水區","24.7909842","121.3769233","4.3","271"
"Back Cihu","24.845252","121.302385","4.3","1718"
"Sanmin Bat Cave","24.838144","121.3502742","4.2","4104"
"Longfeng Falls","23.9404499","120.8112347","4","1586"
