"name","latitude","longitude","rating","rating_count"
"水岸-森林物語","24.6837326","121.7318603","5","364"
"大風吹手作館-親子景點、手作體驗、雨天行程","24.6834118","121.7336761","4.8","1863"
"Chen Ding-Nan Memorial Park","24.6891594","121.7159016","4.6","1239"
"長埤湖精靈村","24.6437168","121.6108565","4.6","3044"
"Water geothermal Square","24.6118089","121.6365653","4.4","20999"
"安農溪","24.6696577","121.6830203","4.6","73"
"九寮溪自然步道","24.6737613","121.5995228","4.4","544"
"清水泉湯屋","24.6132402","121.6372099","4.3","223"
"Jiuliao Falls","24.60759","121.73224","4.3","267"
"Chungpi Lake","24.6440544","121.6109619","4","2093"
"Sanxing Green Onion Culture Palace","24.6682313","121.6523885","3.9","4853"
