"name","latitude","longitude","rating","rating_count"
"國立故宮博物院北部院區天下為公牌樓","25.1001511","121.5495937","4.7","241"
"Junjianyan","25.1273088","121.5187175","4.5","4622"
"番井沸泉碑","25.1210627","121.5346325","4.5","222"
"花博大佳河濱公園區","25.0748126","121.5371406","4.5","274"
"The Lin Yutang House","25.1096252","121.546921","4.5","922"
"Meiti Riverside Park","25.0753765","121.5608673","4.5","9707"
"Zhishanyan","25.1039041","121.5302756","4.4","1078"
"Zhishanyan Cultural and Historical Park","25.1022722","121.529852","4.4","2814"
"鵝尾山水田","25.1278046","121.5741552","4.4","226"
"Jiantan Historical Temple","25.0861847","121.5553802","4.4","681"
