name,latitude,longitude,rating,rating_count,address
烹小鮮-中式料理 美食餐廳 特色料理 巷弄美食 必吃餐廳,23.6921446,120.5284761,4.5,1894,"No. 88號, Bade Rd, Douliu City, Yunlin County, Taiwan 640"
Sunny·桑尼 咖喱&義式料理(不定期公休),23.7133928,120.5430283,4.8,609,"No. 63-1號, Zhenbei Rd, Douliu City, Yunlin County, Taiwan 64052"
MANXI.VD,23.7134326,120.5427011,4.8,305,"No. 157號, Wuchang Rd, Douliu City, Yunlin County, Taiwan 64048"
圓砌鴛鴦升降鍋物 斗六旗艦店 全台第一升降鍋物,23.7041235,120.5508026,4.8,5251,"No. 38號, Zhuangjing Rd, Douliu City, Yunlin County, Taiwan 64043"
Geng Yun Xuan Hong Kong Restaurant,23.7168074,120.5342592,4.7,252,"640, Taiwan, Yunlin County, Douliu City, Douliu 5th Rd, 35號?三好國際酒店1樓"
斗六釣魚台活漁海鮮餐廳,23.6972929,120.5412749,4.7,1578,"No. 12號, Nanyang St, Douliu City, Yunlin County, Taiwan 640"
Douliu,23.7064789,120.5397258,N/A,N/A,"Douliu, Douliu City, Yunlin County, Taiwan 640"
迷樂卡啡 斗南店,23.6720885,120.4800752,4.7,1172,"No. 2之1號, Zhongshan Rd, Dounan Township, Yunlin County, Taiwan 63042"
丹鹿和風餐食館,23.702699,120.531723,4.6,569,"No. 724號, Zhongjian W Rd, Douliu City, Yunlin County, Taiwan 64072"
巾秋日式串燒,23.7135553,120.5408883,4.6,209,"No. 18號, Changchun Rd, Douliu City, Yunlin County, Taiwan 64048"
,,,,,
"[0, '3.3 km', '3.4 km', '3.2 km', '3.8 km', '1.7 km', '2.5 km', '7.1 km', '1.6 km', '3.6 km']",,,,,
"['3.4 km', 0, '60 m', '1.9 km', '1.7 km', '2.1 km', '0.9 km', '8.9 km', '1.8 km', '0.3 km']",,,,,
"['3.7 km', '60 m', 0, '2.0 km', '1.4 km', '2.2 km', '1.0 km', '9.2 km', '2.1 km', '0.3 km']",,,,,
"['3.2 km', '1.9 km', '2.0 km', 0, '3.1 km', '1.6 km', '1.4 km', '9.5 km', '2.4 km', '2.2 km']",,,,,
"['3.5 km', '1.5 km', '1.3 km', '3.2 km', 0, '3.3 km', '1.6 km', '9.2 km', '2.3 km', '1.0 km']",,,,,
"['1.7 km', '2.1 km', '2.2 km', '1.6 km', '3.4 km', 0, '1.2 km', '8.0 km', '1.3 km', '2.4 km']",,,,,
"['2.5 km', '0.9 km', '1.0 km', '1.4 km', '1.7 km', '1.2 km', 0, '8.3 km', '1.3 km', '1.2 km']",,,,,
"['6.9 km', '8.8 km', '8.9 km', '9.5 km', '9.3 km', '8.0 km', '8.3 km', 0, '7.1 km', '9.1 km']",,,,,
"['1.7 km', '1.8 km', '1.9 km', '2.4 km', '2.4 km', '1.3 km', '1.0 km', '7.1 km', 0, '2.1 km']",,,,,
"['3.7 km', '0.3 km', '0.3 km', '2.2 km', '1.4 km', '2.4 km', '1.2 km', '9.1 km', '2.1 km', 0]",,,,,
