name,latitude,longitude,rating,rating_count,address,,,
古坑好農,23.623291,120.5556401,4.9,3464,"No. 12號, Guangchang Rd, Gukeng Township, Yunlin County, Taiwan 646",,,
華山情人橋｜華山休閒農業區,23.5929543,120.6087722,4.3,655,"646, Taiwan, 雲林縣古坑鄉華山村",,,
Ten Thousand Year Gorge,23.601154,120.6656576,4.8,4,"Ten Thousand Year Gorge, Gukeng Township, Yunlin County, Taiwan 646",,,
莿桐鄉花海,23.7738498,120.5106881,4.1,298,"No. 150, Heping Rd, Citong Township, Yunlin County, Taiwan 647",,,
林內鄉落羽松林,23.7810839,120.616343,4.1,511,"No. 9-2, Sanxing Rd, Linnei Township, Yunlin County, Taiwan 643",,,
Futian Suspension Bridge,23.7011124,120.5974767,4.1,272,"No. 87號, Meidi Rd, Douliu City, Yunlin County, Taiwan 640",,,
古坑服務區水舞廣場,23.6087374,120.5440387,4.1,1468,"646, Taiwan, Yunlin County, Gukeng Township, Formosa Fwy, 古坑服務區內",,,
Pitouhuiben Park,23.7740133,120.4781181,4,1504,"648, Taiwan, Yunlin County, Xiluo Township, 埤頭77號",,,
Douliuzi Park,23.7051058,120.5423425,4,637,"No. 149, Fuqian St, Douliu City, Yunlin County, Taiwan 640",,,
紅螞蟻生態世界,23.69383,120.62212,3.9,1642,"640, Taiwan, Yunlin County, Douliu City, 檨林路73-1號",,,
Grandma Bear towel Storyland,23.725194,120.442735,3.9,1074,"632, Taiwan, Yunlin County, Huwei Township, 埒內里84號",,,
大埤三結稻草迷宮,23.6676509,120.4552427,3.8,170,"631, Taiwan, Yunlin County, Dapi, 14號",,,
石龜溪熊貓彩繪村,23.6408119,120.4831925,3.8,176,"630, Taiwan, Yunlin County, Dounan Township, 四維路22巷18號",,,
,,,,,,,,
中心：古坑綠色隧道、ｒ=15km (雲林南北最長的地方有三十八公里),,,,,,,,
,,,,,,,,
"[0, '7.8 km', '19.8 km', '19.2 km', '24.6 km', '11.8 km', '6.2 km', '31.5 km', '10.4 km', '9.9 km']",,,,,,,,
"['7.8 km', 0, '21.4 km', '25.7 km', '18.8 km', '10.0 km', '5.9 km', '34.9 km', '10.7 km', '11.0 km']",,,,,,,,
"['19.8 km', '21.3 km', 0, '43.1 km', '34.0 km', '27.4 km', '23.8 km', '52.9 km', '28.1 km', '28.4 km']",,,,,,,,
"['19.3 km', '25.8 km', '43.3 km', 0, '13.0 km', '15.2 km', '26.4 km', '7.7 km', '9.4 km', '8.9 km']",,,,,,,,
"['24.8 km', '18.9 km', '34.0 km', '13.0 km', 0, '10.9 km', '19.5 km', '19.5 km', '12.9 km', '12.7 km']",,,,,,,,
"['11.8 km', '10.0 km', '27.4 km', '15.3 km', '10.7 km', 0, '17.1 km', '20.6 km', '6.0 km', '6.2 km']",,,,,,,,
"['13.4 km', '17.9 km', '35.8 km', '38.5 km', '31.6 km', '29.8 km', 0, '46.1 km', '24.7 km', '24.4 km']",,,,,,,,
"['31.8 km', '35.2 km', '51.5 km', '7.7 km', '19.5 km', '20.5 km', '34.2 km', 0, '14.7 km', '14.3 km']",,,,,,,,
"['10.6 km', '10.8 km', '28.2 km', '9.3 km', '12.9 km', '6.5 km', '10.6 km', '14.6 km', 0, '0.4 km']",,,,,,,,
"['10.0 km', '11.1 km', '28.5 km', '8.9 km', '12.7 km', '6.8 km', '10.4 km', '14.2 km', '0.5 km', 0]",,,,,,,,
