name,latitude,longitude,rating,rating_count,address,,
鐵花窗,23.5494845,120.1903937,4.4,104,"No. 175號, Fuxing Rd, Kouhu Township, Yunlin County, Taiwan 653",,
Wunian Qiansui Park,23.6988507,120.2774771,4.4,9996,"No. 31號, Zhenan Rd, Baozhong Township, Yunlin County, Taiwan 63442",,
Banyan Fence,23.6411091,120.3749657,4.4,100,"Yuanchang Township, Yunlin County, Taiwan 655",,
Beigang Water Cultural Park,23.5644195,120.3055976,4.3,2062,"No. 1號, Minsheng Rd, Beigang Township, Yunlin County, Taiwan 651",,
Xingyixuan Food Factory,23.557477,120.1685161,4.3,171,"653, Taiwan, Yunlin County, Kouhu Township, 成龍路197號",,
北港春生活博物館,23.5914537,120.2929019,4.2,629,"651, Taiwan, Yunlin County, Beigang Township, 53-1號",,
Beigang Sky Bridge,23.5723539,120.3047377,4,487,"651, Taiwan, Yunlin County, Beigang Township, 大同里",,
土庫櫻花大道,23.6902556,120.3552231,4,176,"Heping St, Tuku Township, Yunlin County, Taiwan 633",,
北港彩繪村,23.5704931,120.3057102,4,86,"No. 81號, Renhe Rd, Beigang Township, Yunlin County, Taiwan 651",,
成龍集會所,23.5553748,120.1663572,3.9,250,"653, Taiwan, Yunlin County, Kouhu Township, 成龍村135號",,
,,,,,,,
,,,,,,,
,,,,,,,
"[0, '32.0 km', '22.8 km', '14.8 km', '6.2 km', '16.8 km', '16.8 km', '40.7 km', '15.3 km', '6.2 km']",,,,,,,
"['33.0 km', 0, '12.7 km', '19.9 km', '29.8 km', '16.9 km', '16.9 km', '10.2 km', '19.0 km', '29.8 km']",,,,,,,
"['22.8 km', '12.7 km', 0, '10.4 km', '22.8 km', '6.7 km', '6.7 km', '8.9 km', '9.5 km', '22.8 km']",,,,,,,
"['14.8 km', '19.4 km', '10.4 km', 0, '14.7 km', '4.7 km', '4.7 km', '18.6 km', '0.9 km', '14.7 km']",,,,,,,
"['6.2 km', '28.6 km', '22.8 km', '14.7 km', 0, '16.7 km', '16.7 km', '37.2 km', '15.3 km', '1 m']",,,,,,,
"['16.9 km', '16.0 km', '7.1 km', '4.7 km', '16.8 km', 0, '1 m', '15.7 km', '3.9 km', '16.8 km']",,,,,,,
"['16.9 km', '16.0 km', '7.1 km', '4.7 km', '16.8 km', '1 m', 0, '15.7 km', '3.9 km', '16.8 km']",,,,,,,
"['41.4 km', '10.0 km', '8.6 km', '18.3 km', '38.2 km', '15.4 km', '15.4 km', 0, '17.4 km', '38.2 km']",,,,,,,
"['15.3 km', '18.6 km', '9.7 km', '0.9 km', '15.3 km', '3.9 km', '3.9 km', '17.9 km', 0, '15.3 km']",,,,,,,
"['6.2 km', '28.6 km', '22.8 km', '14.7 km', '1 m', '16.7 km', '16.7 km', '37.2 km', '15.3 km', 0]",,,,,,,
